Price;Beds;Baths;Sq Ft;State;Street;City;Zip;Lot Size;Garage Spots;Walkability
29500.0;3.649122807017544;2.780701754385965;2666.3508771929824;;231 Maple Creek Dr; Wallace;NC 28466;0.61 acre lot;;Car-dependent
24900.0;3.649122807017544;2.780701754385965;2666.3508771929824;;124 W Winding Way; Wallace;NC 28466;0.52 acre lot;;Car-dependent
24000.0;3.649122807017544;2.780701754385965;2666.3508771929824;;137 Legacy Pt; Wallace;NC 28466;;;
50000.0;3.649122807017544;2.780701754385965;2666.3508771929824;;130 Cypress Pt; Wallace;NC 28466;;;
65000.0;3.649122807017544;2.780701754385965;2666.3508771929824;;123 October Glory Dr; Wallace;NC 28466;;;
79900.0;3.649122807017544;2.780701754385965;2666.3508771929824;;118 Cape Jasmine Ln; Wallace;NC 28466;;;
75000.0;3.649122807017544;2.780701754385965;2666.3508771929824;;115 Mimosa Ct; Wallace;NC 28466;;;
35000.0;3.649122807017544;2.780701754385965;2666.3508771929824;;178 Sterling Ct; Wallace;NC 28466;;;
79900.0;3.649122807017544;2.780701754385965;2666.3508771929824;;Tbd Bull Tail Rd; Wallace;NC 28466;;;
84900.0;3.649122807017544;2.780701754385965;2666.3508771929824;;188 Long Leaf Dr; Wallace;NC 28466;;;
43000.0;3.649122807017544;2.780701754385965;2666.3508771929824;;118 River Stone Run Dr; Wallace;NC 28466;;;
30000.0;3.649122807017544;2.780701754385965;2666.3508771929824;;172 Cardinal Crest Dr; Wallace;NC 28466;;;
37947.0;3.649122807017544;2.780701754385965;2666.3508771929824;;142 Pilot House Dr; Wallace;NC 28466;;;
33000.0;3.649122807017544;2.780701754385965;2666.3508771929824;;228 Sycamore Forest Dr; Wallace;NC 28466;;;
22000.0;3.649122807017544;2.780701754385965;2666.3508771929824;;123 Candlewood Dr; Wallace;NC 28466;;;
75000.0;3.649122807017544;2.780701754385965;2666.3508771929824;;170 Pine Ridge Dr; Wallace;NC 28466;;;
119000.0;3.649122807017544;2.780701754385965;2666.3508771929824;;174 Pine Ridge Dr; Wallace;NC 28466;;;
50000.0;3.649122807017544;2.780701754385965;2666.3508771929824;;217 October Glory Dr; Wallace;NC 28466;;;
49000.0;3.649122807017544;2.780701754385965;2666.3508771929824;;112 River Stone Run Dr; Wallace;NC 28466;;;
39000.0;3.649122807017544;2.780701754385965;2666.3508771929824;;198 Cellars Way; Wallace;NC 28466;;;
19900.0;3.649122807017544;2.780701754385965;2666.3508771929824;;205 Cedar Point Dr; Wallace;NC 28466;;;
29900.0;3.649122807017544;2.780701754385965;2666.3508771929824;;168 Candlestick Dr; Wallace;NC 28466;;;
59999.0;3.649122807017544;2.780701754385965;2666.3508771929824;;178 Maple Creek Dr; Wallace;NC 28466;;;
49900.0;3.649122807017544;2.780701754385965;2666.3508771929824;;143 Red Fox Run Dr; Wallace;NC 28466;;;
54900.0;3.649122807017544;2.780701754385965;2666.3508771929824;;167 Maple Creek Dr; Wallace;NC 28466;;;
39000.0;3.649122807017544;2.780701754385965;2666.3508771929824;;142 Sycamore Forest Dr; Wallace;NC 28466;;;
45000.0;3.649122807017544;2.780701754385965;2666.3508771929824;;105 Legacy Oaks Dr; Wallace;NC 28466;;;
11250.0;3.649122807017544;2.780701754385965;2666.3508771929824;;27 Dodge Ln; Wallace;NC 28466;;;
52000.0;3.649122807017544;2.780701754385965;2666.3508771929824;;153 River Woods Dr; Wallace;NC 28466;;;
25000.0;3.649122807017544;2.780701754385965;2666.3508771929824;;163 Candlestick Dr; Wallace;NC 28466;;;
30000.0;3.649122807017544;2.780701754385965;2666.3508771929824;;142 Red Berry Dr; Wallace;NC 28466;;;
42000.0;3.649122807017544;2.780701754385965;2666.3508771929824;;124 Maple Creek Dr; Wallace;NC 28466;;;
369000.0;2.0;2.0;1587.0;;6702 NW 71st St; Tamarac;FL 33321;4,930 sq ft lot;;
180000.0;2.0;1.0;835.0;;5672 Rock Island Rd #262; Tamarac;FL 33319;;;Car-dependent
165000.0;1.0;1.0;695.0;;5740 Rock Island Rd #281; Tamarac;FL 33319;;;Car-dependent
195000.0;2.0;2.0;1030.0;;5720 Rock Island Rd #380; Tamarac;FL 33319;;;Car-dependent
284900.0;2.0;2.0;1469.0;;9563 Weldon Cir Unit D308; Tamarac;FL 33321;;;Car-dependent
249900.0;2.0;2.0;1650.0;;5414 Gate Lake Rd #5414; Fort Lauderdale;FL 33319;;;
184500.0;2.0;2.0;1270.0;;4975 E Sabal Palm Blvd #203; Tamarac;FL 33319;;;
240000.0;2.0;2.0;1042.0;;8050 W Mcnab Rd #212; Tamarac;FL 33321;;;
219000.0;2.0;2.0;1500.0;;7531 Fairfax Dr Unit 202-H; Fort Lauderdale;FL 33321;;;
195000.0;2.0;2.0;1075.0;;6075 N Sabal Palm Blvd #114; Tamarac;FL 33319;;;
150000.0;2.0;2.0;950.0;;9201 Lime Bay Blvd #101; Tamarac;FL 33321;;;
110000.0;1.0;1.0;660.0;;Undisclosed address; Fort Lauderdale;FL 33319;;;
139900.0;2.0;2.0;827.0;;7174 Ashmont Cir #107; Tamarac;FL 33321;;;
230000.0;2.0;2.0;1100.0;;8105 NW 61st St Unit A111; Tamarac;FL 33321;;;
185000.0;2.0;2.0;865.0;;7650 W Mcnab Rd #304; Tamarac;FL 33321;;;
479000.0;2.0;2.0;2046.0;;7125 NW 102nd Ave; Tamarac;FL 33321;;;
349999.0;2.0;2.0;1342.0;;6517 NW 58th St; Tamarac;FL 33321;;;
360000.0;3.0;2.0;1488.0;;5517 NW 59th Pl; Tamarac;FL 33319;;;
160000.0;2.0;1.0;827.0;;10675 W Clairmont Cir #202; Fort Lauderdale;FL 33321;;;
505000.0;3.0;2.0;1986.0;;8125 Royal Palm Ct #2; Tamarac;FL 33321;;;
195000.0;2.0;2.0;985.0;;7737 NW 79th Ave #205; Tamarac;FL 33321;;;
170000.0;2.0;2.0;1075.0;;8401 Lagos De Campo Blvd Unit 210V; Tamarac;FL 33321;;;
205000.0;1.0;1.0;702.0;;5200 NW 31st Ave #214; Fort Lauderdale;FL 33309;;;
157000.0;1.0;1.0;695.0;;5686 Rock Island Rd #129; Tamarac;FL 33319;;;
349999.0;3.0;2.0;1682.0;;8211 NW 59th Ct; Tamarac;FL 33321;;;
235900.0;2.0;2.0;1229.0;;7775 Yardley Dr #409; Tamarac;FL 33321;;;
175000.0;2.0;2.0;1010.0;;7316 Ashmont Cir #104; Tamarac;FL 33321;;;
499000.0;3.0;2.0;1654.0;;8114 NW 91st Ave; Tamarac;FL 33321;;;
365000.0;2.0;1.5;1110.0;;7833 Sanibel Dr #7833; Tamarac;FL 33321;;;
315000.0;3.0;2.0;1792.0;;8760 Holly Ct #204; Tamarac;FL 33321;;;
349000.0;2.0;1.0;981.0;;1706 NW 45 Ct; Tamarac;FL 33309;;;
329000.0;2.0;2.0;1234.0;;9056 NW 61st St; Tamarac;FL 33321;;;
114900.0;2.0;2.0;950.0;;9301 Lime Bay Blvd #204; Tamarac;FL 33321;;;
110000.0;2.0;2.0;1025.0;;8310 Sands Point Blvd Unit L307; Tamarac;FL 33321;;;
250000.0;2.0;2.0;1585.0;;5620 NW 59th St #6; Tamarac;FL 33319;;;
415900.0;3.0;2.0;1608.0;;7624 NW 99th Ave; Tamarac;FL 33321;;;
364999.0;2.0;2.0;1508.0;;Undisclosed address; Tamarac;FL 33321;;;
170000.0;1.0;1.5;746.0;;8000 Lagos De Campo Blvd Unit A-103; Tamarac;FL 33321;;;
185000.0;2.0;2.0;1180.0;;8351 Sands Point Blvd Unit A304; Tamarac;FL 33321;;;
594000.0;3.0;2.5;1985.0;;8230 Cassia Ter; Tamarac;FL 33321;;;
184500.0;2.0;2.0;1030.0;;6190 Woodlands Blvd #311; Tamarac;FL 33319;;;Car-dependent
115000.0;2.0;2.0;880.0;;6350 NW 62nd St #211; Tamarac;FL 33319;;;Somewhat walkable
262000.0;2.0;2.0;1450.0;;Undisclosed address; Fort Lauderdale;FL 33321;;;Car-dependent
